speaker	start	end	duration	text
SP1	0.120	1.860	1.740	va be' era leggera però
SP2	2.040	3.140	1.100	no no no è vero
SP3	3.130	3.380	0.250	sì
SP3	4.120	5.400	1.280	non era pesantissima
SP1	6.480	7.240	0.760	per niente
SP3	7.500	9.560	2.060	l'unica cosa ho esagerato un po' con l'olio forse
SP1	10.800	12.160	1.360	ma nell'impasto no fuori
SP3	12.160	14.360	2.200	fuori nell'impasto ci ho me[sso il giusto]
SP2	13.362	14.444	1.082	[nella padella]
SP3	14.720	15.660	0.940	però in padella
SP3	16.920	19.250	2.330	xx ha detto metti: quello là l'olio da friggere
SP3	19.560	20.580	1.020	così vengono meglio
SP3	20.880	21.720	0.840	ho detto okay
SP3	22.280	23.840	1.560	e ho fatto però praticamente
SP3	24.100	25.560	1.460	ho messo:
SP3	25.640	28.060	2.420	tutto l- tutto il fondo della padella era pieno di olio
SP3	29.380	30.390	1.010	io volevo mettere un filo
SP3	30.390	31.540	1.150	sai per farle venire
SP3	31.540	32.780	1.240	mezzi tra:
SP3	34.820	35.640	0.820	c(io)è cotti
SP3	35.760	36.944	1.184	nella padella unta
SP3	36.993	37.637	0.644	invece
SP3	38.840	39.800	0.960	i primi sono venuti un po'
SP3	39.800	41.281	1.481	deep fried quasi ((ride))
SP1	43.293	43.680	0.387	((tossisce))
SP1	43.820	45.660	1.840	beh oggi abbiamo fatto colazione con
SP1	45.660	47.380	1.720	pan- pancake con nutella
SP3	47.600	49.520	1.920	è rimasto un altro pancake se vuoi
SP2	49.555	50.719	1.164	uh [xxxx]
SP3	49.740	51.720	1.980	[mangiati tu il pan]cake che io mangio il gelato che ne dici?
SP1	53.056	54.700	1.644	(te lo tiro in) faccia sto pancake
SP2	53.174	53.943	0.769	stronzo
SP1	55.256	56.480	1.224	poi è rimasto
SP1	56.720	58.140	1.420	poi abbiamo mangiato
SP3	58.300	59.594	1.294	io [a pranzo ho esagerato]
SP1	58.350	59.587	1.237	[xxxxx nonna]
SP1	60.400	62.400	2.000	quattro gelati s'ha mangiato sto porc
SP3	62.412	63.912	1.500	quattro gelati non è ve-
SP3	63.940	66.575	2.635	xxxxxx abbiamo mangiato la stessa quantità di gelato
SP1	67.160	68.394	1.234	tu ne hai mangiati di più
SP3	68.425	69.262	0.837	no roberto
SP1	69.544	70.925	1.381	hai mangiato il pan di stelle
SP1	70.950	72.344	1.394	hai mangiato quello al caramello
SP1	72.350	73.358	1.008	e ne hai mangiato un al[tro]
SP3	73.160	74.453	1.293	[no no]n l'ho mangiato un altro
SP3	75.300	77.253	1.953	ho man- perché noi abbiamo comprato quelli pan di st[elle]
SP1	77.005	78.637	1.632	[va be'] sei un [maiale hai mangiato]
SP3	77.632	78.637	1.005	[che erano buoni]
SP3	78.800	80.000	1.200	si pure tu sei un maiale però
SP1	80.020	82.600	2.580	hai [mangiato pure le salsi]cce e [un sacco di] friarielli
SP3	80.184	81.121	0.937	[ti sto dicendo]
SP3	81.221	81.847	0.626	[perchè]
SP3	82.190	84.020	1.830	perché praticamente noi abbiamo comprato
SP3	84.100	85.920	1.820	questi gelati pan di stelle
SP3	85.920	87.420	1.500	che erano quelli là tipo a biscotto
SP3	87.500	89.342	1.842	che ce ne erano due in una:
SP3	89.395	90.211	0.816	bustina
SP3	90.432	92.916	2.484	io ho detto voglio questo però voglio anche quello al caramello
SP3	93.040	94.074	1.034	quindi ho mangiato uno
SP3	94.100	95.760	1.660	di quelli io ho dato l'altro a lui
SP3	95.760	99.632	3.872	io ho mangiato quello al caramello la stessa quantità che ha mangiato lui uguale identico
SP3	99.980	102.020	2.040	quindi la cosa che adesso io sono il porco e tu no
SP3	102.860	103.695	0.835	lasciamo stare
SP2	103.716	105.860	2.144	in generale: per una giornata:
SP2	105.960	107.960	2.000	c'è stato tanto cibo un po' chiatto
SP3	108.080	110.280	2.200	ma è domenica è festa [lo sanno tutti]
SP2	109.647	110.900	1.253	[eh lo so pe][rò:]
SP1	110.505	111.963	1.458	[mh] chiediamolo al diabete
SP1	111.968	114.080	2.112	di terzo tipo che avremo tra un paio di anni
SP2	116.021	117.453	1.432	tra [un paio di anni] ((ride))
SP3	116.200	118.658	2.458	[sì perchè tutti i giorni] mangio così ovviamente
SP1	120.620	122.360	1.740	(nervosamente) mi fa venire
SP2	122.360	124.137	1.777	avete mangiato l'insalata ieri eh
SP1	124.200	125.805	1.605	ieri ho mangiato l'insalatina
SP2	128.120	129.768	1.648	no non mi guardare così che ho detto?
SP1	129.932	131.495	1.563	vuoi sapere che c'era nell'insalatina?
SP1	131.500	132.905	1.405	c'erano i cubetti
SP2	133.200	134.500	1.300	di formaggio e di sa[lame
SP1	134.000	134.800	0.800	[di provolone]
SP2	134.542	135.537	0.995	(me l'ha] d[etto)]
SP1	134.868	135.847	0.979	[i: cubetti] di sa-
SP1	135.900	137.832	1.932	e ti sembra un'insalatina [questa?]
SP2	137.274	140.926	3.652	[va be'] però x non è che ha esaggerato sono degli affettati con l'insalata
SP2	140.942	142.016	1.074	c(io)è un pranzo:
SP2	142.174	143.511	1.337	[(secondo me) non] trop[po:]
SP3	142.174	142.811	0.637	[allora (miri)]
SP3	143.179	143.732	0.553	[te lo] giuro
SP3	143.779	145.763	1.984	ti ti fidi di me quando ti dico una cosa?
SP3	145.989	148.068	2.079	c(io)è non dico non ti ho mai detto una bugia in vita mia a te
SP3	148.770	149.065	0.295	allora
SP3	150.616	151.626	1.010	ho messo mezza
SP3	152.047	153.137	1.090	cosa di iceberg
SP3	153.592	154.655	1.063	poi ci ho messo
SP3	154.820	158.232	3.412	quattro fette contate di salame tagliate a cubetti
SP3	159.040	160.532	1.492	mezzo pezzo di auricchio
SP3	160.563	162.821	2.258	cioè di: provolone tagliato a cubetti
SP3	163.300	163.647	0.347	e
SP3	163.658	164.947	1.289	due fettine di pane
SP3	164.963	167.953	2.990	tagliate a cubetti saltate in padella che l'ho fatto tipo crostino
SP2	168.089	168.279	0.190	mh
SP3	168.479	168.874	0.395	basta
SP3	170.440	172.568	2.128	x ah è una carota:
SP2	171.094	172.247	1.153	xxxxxxx
SP3	172.580	174.300	1.720	che l'ho tagliata piccolina piccoli[na]
SP2	174.020	175.679	1.659	[no] secondo me la carota non ci stava bene
SP3	175.680	176.460	0.780	invece stava bene
SP2	176.637	176.789	0.152	sì?
SP2	177.500	180.340	2.840	no comunque no per me è un pranzo [standard]
SP3	179.542	180.700	1.158	[non è un pranzo] grasso
SP2	180.705	181.105	0.400	no
SP3	183.840	185.580	1.740	pranzo che è terminato col gelato
SP2	186.158	186.421	0.263	ah
SP3	186.679	187.780	1.101	[non solo per] me
SP2	186.694	187.505	0.811	[questo xxx]
SP3	187.900	188.660	0.760	ma anche per lui
SP3	188.732	189.074	0.342	quin[di]
SP2	188.853	191.640	2.787	[va be'] però comunque in generale state un pochino:
SP2	191.647	192.937	1.290	dando alla pazza gioia eh
SP1	193.160	194.240	1.080	ma io non sto dicendo
SP1	194.320	196.632	2.312	marco stai mangiando come il maiale
SP1	196.660	197.980	1.320	marco avrà diabete
SP1	198.000	200.060	2.060	sto dicendo marco entrambi
SP1	200.180	201.860	1.680	assumiamoci le responsabilità
SP1	202.260	203.830	1.570	che noi già viviamo in una terra
SP1	203.830	206.221	2.391	di merda che ci porta naturalmente
SP1	206.242	207.205	0.963	a morire prima
SP1	207.205	208.800	1.595	poi mangiamo anche molto male
SP2	208.805	210.305	1.500	però tipo ieri avete mangiato le [xxx]
SP3	209.795	211.180	1.385	[parla per] te io non abito qua
SP1	213.000	213.900	0.900	marco ma va cac
SP2	214.737	215.405	0.668	xxxx
SP3	215.195	216.220	1.025	si ma questo gay drama
SP3	216.240	217.140	0.900	non ho capito
SP3	217.305	217.979	0.674	co sta cosa che
SP3	220.963	222.510	1.547	per forza dobbiamo litigarci ogni volta
SP1	224.820	225.780	0.960	ma se vuoi
SP1	226.220	227.730	1.510	°(possiamo anche non litigarci più)°
SP1	229.758	230.599	0.841	a casa mia
SP3	230.605	231.284	0.679	((ride))
SP3	231.320	233.563	2.243	è già la trentesima volta che lo dici (ja) ((ride))
SP3	233.846	234.162	0.316	((ride))
SP3	234.740	236.584	1.844	lo sai che non è quello che voglio quindi:
SP1	237.500	239.610	2.110	°beh forse mi sono scocciato di stare [qua]°
SP3	239.295	241.420	2.125	[bravo] forse se tu ti sei scocciato ti riaccompagno
SP3	241.500	243.140	1.640	però se è per me lo sai che non è così
SP3	244.800	246.537	1.737	e evitiamo di continuare questo discorso
SP3	246.600	248.100	1.500	al momento che non mi sembra il caso
SP2	253.360	254.868	1.508	no anche perché mi deve venire il ciclo
SP2	254.900	256.510	1.610	mi metto a piangere se litigate
SP3	256.620	258.020	1.400	no amo mo ci prendiamo il gelato
SP3	258.020	259.395	1.375	così ti facciamo stare feli[ce]
SP1	259.310	259.658	0.348	[ec]co qua
SP2	260.389	262.232	1.843	aspetta xxxxxx digeriamo
SP1	262.216	263.500	1.284	sì mi fumo una sigaretta