SP1	0.320	1.790	1.470	ci sono delle università
SP2	2.560	5.513	2.953	sì [no le università è pro]prio in città [xxx]
SP1	2.880	4.120	1.240	[o più nella capita-]
SP1	5.120	6.710	1.590	[okay] (.) okay okay okay
SP1	6.833	9.940	3.107	[e s-] (.) in capitale in capitale okay [eh se] devi::
SP2	6.967	7.970	1.003	[di:] in capitale
SP2	8.840	9.380	0.540	[però]
SP3	10.928	11.928	1.000	°posso anche°
SP2	14.060	15.540	1.480	vabbè adesso faccio finire qui
SP3	15.725	16.257	0.532	°sì°
SP2	17.413	19.713	2.300	detali così che ci vengono
SP3	19.743	21.180	1.437	vengono abbastanza bene no
SP1	21.320	23.449	2.129	sì (.) proviamo vedere se:
SP1	25.806	27.625	1.819	>allora< dimmi la capitale è molto [grande,]
SP2	27.139	33.194	6.055	[la capitale] è molto grande (.) e trecentosei virgola quattro e: <chilometri quadr[ati>]
SP1	32.944	34.413	1.469	[okay] e po[po]lazione?
SP2	33.583	33.986	0.403	[in]
SP2	34.733	39.000	4.267	e:h quattordici <milioni> quattordici punto quattro mi[lioni]
SP1	37.259	37.586	0.327	[EH]
SP1	38.764	41.458	2.694	[cioè] bologna è trecentocinquantamila persone
SP2	41.458	45.083	3.625	beh [trecentocinquantamila] ma devo essere quanto grande bologna
SP1	41.861	43.361	1.500	[eh ((ride))]
SP1	45.569	47.413	1.844	non so di kilometri quadrati però:
SP1	47.920	53.580	5.660	ma infatti mi sembrava impossibile ma il ragazzo ie[ri insisteva (.) infa-]
SP2	52.222	55.264	3.042	[e guarda che bologna è] centoqua- centoquaran[ta]
SP1	54.861	55.764	0.903	[eh] (.) [sì]
SP2	55.583	59.653	4.070	[cento]quaranta virgola nove kilometri quadrati che se parliamo fino a
SP2	59.972	63.375	3.403	da: mh dove di: pilastro, fino a di:
SP1	63.333	63.750	0.417	mhmh
SP2	63.806	65.694	1.888	fino a di: mh
SP1	66.014	67.542	1.528	tipo casalecchio la [ba]rca xxxx
SP2	66.986	67.389	0.403	[sì]
SP2	67.431	69.569	2.138	[sì proprio sì casa]lecchio
SP3	67.444	68.833	1.389	[xxxx]
SP1	69.361	70.736	1.375	[sì] sì [sì sì]
SP2	69.642	73.260	3.618	[sì pro]prio il quadrato di: dentro c'è proprio quelle che le-
SP2	73.735	76.301	2.566	mh quelle che comune di bologna (.) esempio
SP1	76.325	76.639	0.314	mhmh
SP2	76.627	82.073	5.446	però è f- non è il fuori che hanno contato [cioè proprio la città e il capitale che hanno entrato] cioè proprio::
SP1	79.367	81.273	1.906	[sì sì certo (.) °sì sì sì°]
SP1	82.627	90.012	7.385	sì sì certo no ma [io-] a me mi sembrava impossibile che una città italiana neanche la capitale fosse grande come [la capita-] ((ride))
SP2	83.707	83.887	0.180	[mh]
SP2	88.976	98.367	9.391	[beh no è come] è più g- cioè è come grande della venezia che venezia è una città bella grande quattrocentoquatto- e:h <quattrocentoquattordici metri quadrati>
SP1	98.740	106.040	7.300	(>guarda<) che s- mh perché conteranno tutta la provincia per[ché vene]zia città è un'isoletta grande co[sì praticamente ((ride)) sì]
SP2	101.586	101.920	0.334	[sì]
SP2	103.540	110.542	7.002	[eh eh assolutamente] ((ride)) poi se andiamo ancora un po' avanti ci sono colli che non con- non contano [neanche]
SP1	109.233	113.620	4.387	[no no infa]tti infatti no ma mi sembrava strano in[fatti] ma
SP2	112.789	113.056	0.267	[sì]
SP1	113.647	120.067	6.420	no e quindi mi dicevi che nella (.) nella zona della tua famiglia ci sono delle ini- delle iniziative culturali [delle:]
SP2	119.277	120.107	0.830	[sì sì]
SP1	120.433	124.800	4.367	o e [dei siti storici] o che cosa: [anche o archeolo]gici
SP2	120.976	121.976	1.000	[ma adesso uguale]
SP2	123.627	124.627	1.000	[no sì dei si-]
SP2	125.325	132.533	7.208	no guar[da] che là e: sì proprio:mh ci sono la città un po' un po' più culturale
SP1	125.699	126.120	0.421	[°no°]
SP1	132.578	134.036	1.458	o[kay un po' culturale]
SP2	132.700	134.520	1.820	[poi adesso guarda che] è un po'
SP2	135.020	141.747	6.727	già persa un po': che andava dice a vivere la città che adesso tutti quanti che sta perdendo il lavoro °e questo°
SP1	141.747	142.193	0.446	là
SP2	142.265	142.711	0.446	là
SP1	142.795	144.337	1.542	okay (.) [ma] cioè
SP2	143.494	149.987	6.493	[sì (.) cioè tutti] tutti adesso tornando come la città c'è anda[to:] cioè verso la cit[tà per vivere (lì e) sì]
SP1	147.024	147.590	0.566	[mh:]
SP1	148.084	151.361	3.277	[okay cioè si spostano] dalle zo- [okay] ho capito
SP2	150.253	150.580	0.327	[sì]
SP1	151.651	154.494	2.843	cioè c'è uno spostamento delle persone verso le cit[tà grandi]
SP2	153.735	155.036	1.301	[verso le citt-] e [grandi]
SP1	154.651	155.590	0.939	[per la]vorare
SP2	155.590	155.964	0.374	sì
SP1	156.072	157.675	1.603	sì sì [è chiaro è chiaro]
SP2	156.398	157.675	1.277	[per vivere meglio eh]
SP1	157.759	163.566	5.807	sì sì certo ma vengono anche molti persone del bangladesh i- in europa, per cercare lavoro?
SP1	163.886	164.320	0.434	[perché]
SP2	163.916	170.533	6.617	[da tutto] il mondo che guarda che ci sono mucchio di gente che stanno cioè guarda che il bangladesh se parliamo
SP2	171.133	176.361	5.228	che: sta gue- c'è proprio mh:
SP2	176.602	182.590	5.988	più del eh quaranta per cento del laxx dell'anno (.) avviene fuori dalla: fuori dal paese
SP1	182.976	183.312	0.336	okay
SP1	184.327	186.440	2.113	ah è una cifra molto alta ((ride))
SP2	185.690	186.208	0.518	sì
SP1	186.573	187.708	1.135	sì infatti (.) infatti
SP2	187.894	191.213	3.319	si dice manpower significa che è il gente
SP2	191.627	194.722	3.095	che vanno fuori del paese per lavorare, [per]
SP1	194.258	194.825	0.567	[mhmh]
SP2	195.443	198.340	2.897	per portare soldi del [sì sol]di in pae[se]
SP1	196.577	197.268	0.691	[mhmh]
SP1	197.598	198.371	0.773	[mhmhmh]
SP1	198.485	203.074	4.589	e tornano (.) a [a volte] le persone [dopo che han-]
SP2	200.493	201.765	1.272	[assolutamente sì tornano
SP2	202.125	203.221	1.096	[tutti quanti tornano] ((ride))
SP1	203.103	204.103	1.000	ah tutti [tornano]
SP2	203.537	204.456	0.919	[tutti quanti ]torna[no]
SP1	204.390	207.513	3.123	[cioè] quindi stanno un periodo fuo[ri per lavo]ro e poi tornano a vivere là
SP2	205.735	206.735	1.000	[sì sì]
SP1	208.162	208.684	0.522	okay
SP1	209.487	211.433	1.946	ah interessante vedi è è proprio
SP1	211.740	216.697	4.957	una: zona che non conosco del mondo diciamo non ci sono:: [non ci sono mai stata]
SP2	215.407	220.026	4.619	[sì dipende come:] alcune persone come noi nostra famiglia e:h
SP2	220.067	225.953	5.886	cioè come mh: come su- io sono ormai già sono già italiano ho già preso la cittadinanza
SP1	226.053	226.539	0.486	mh[mh]
SP2	226.263	228.387	2.124	[ade]sso il mio obiettivo per essere qui
SP2	229.393	233.697	4.304	cioè proprio per: mia famiglia è qui allora: sono cresciuto qui
SP2	233.776	236.750	2.974	cioè non ho tanto molti amici [(.) in] banglad[esh]
SP1	235.787	236.329	0.542	[mhmh]
SP1	236.592	236.960	0.368	[mhmh]
SP2	236.829	239.526	2.697	[ho] parente ma [non è] non è che ho molto amici
SP1	237.811	238.184	0.373	[mhmh]
