Phase	Annotatore	Esperto	tipo	min	value	delta
1	A	sì	Straparla	30	74	74
1	A	sì	Straparla	60	110	36
1	A	sì	Straparla	90	153	43
1	A	sì	Straparla	120	195	42
2	A	sì	Straparla	30	60	60
2	A	sì	Straparla	60	129	69
2	A	sì	Straparla	90	193	64
2	A	sì	Straparla	120	232	39
1	E	sì	Parlabo	30	117	117
1	E	sì	Parlabo	60	268	151
1	E	sì	Parlabo	90	378	110
1	E	sì	Parlabo	120	503	125
2	E	sì	Pasti	30	113	113
2	E	sì	Pasti	60	257	144
2	E	sì	Pasti	90	360	103
2	E	sì	Pasti	120	465	105
1	I	sì	Straparla	30	71	71
1	I	sì	Straparla	60	133	62
1	I	sì	Straparla	90	206	73
1	I	sì	Straparla	120	290	84
2	I	sì	Parlabo	30	69	69
2	I	sì	Parlabo	60	138	69
2	I	sì	Parlabo	90	229	91
2	I	sì	Parlabo	120	254	25
1	L	no	Straparla	30	41	41
1	L	no	Straparla	60	79	38
1	L	no	Straparla	90	130	51
1	L	no	Straparla	120	175	45
2	L	no	Parlabo	30	51	51
2	L	no	Parlabo	60	118	67
2	L	no	Parlabo	90	224	106
2	L	no	Parlabo	120	280	56
1	M	no	Parlabo	30	48	48
1	M	no	Parlabo	60	90	42
1	M	no	Parlabo	90	149	59
1	M	no	Parlabo	120	212	63
2	M	no	Pasti	30	67	67
2	M	no	Pasti	60	162	95
2	M	no	Pasti	90	239	77
2	M	no	Pasti	120	284	45
1	N	no	Parlabo	30	64	64
1	N	no	Parlabo	60	117	53
1	N	no	Parlabo	90	180	63
1	N	no	Parlabo	120	187	7
2	N	no	Straparla	30	70	70
2	N	no	Straparla	60	144	74
2	N	no	Straparla	90	213	69
2	N	no	Straparla	120	242	29
1	O	sì	Pasti	30	90	90
1	O	sì	Pasti	60	180	90
1	O	sì	Pasti	90	254	74
1	O	sì	Pasti	120	304	50
2	O	sì	Straparla	30	120	120
2	O	sì	Straparla	60	220	100
2	O	sì	Straparla	90	396	176
2	O	sì	Straparla	120	406	10
1	R	no	Pasti	30	40	40
1	R	no	Pasti	60	72	32
1	R	no	Pasti	90	135	63
1	R	no	Pasti	120	185	50
2	R	no	Straparla	30	64	64
2	R	no	Straparla	60	104	40
2	R	no	Straparla	90	173	69
2	R	no	Straparla	120	191	18
1	S	sì	Straparla	30	49	49
1	S	sì	Straparla	60	110	61
1	S	sì	Straparla	90	155	45
1	S	sì	Straparla	120	197	42
2	S	sì	Parlabo	30	180	180
2	S	sì	Parlabo	60	300	120
2	S	sì	Parlabo	90	410	110
2	S	sì	Parlabo	120	491	81
1	U	no	Straparla	30	42	42
1	U	no	Straparla	60	77	35
1	U	no	Straparla	90	110	33
1	U	no	Straparla	120	145	35
2	U	no	Pasti	30	82	82
2	U	no	Pasti	60	147	65
2	U	no	Pasti	90	236	89
2	U	no	Pasti	120	265	29
1	V	no	Pasti	30	53	53
1	V	no	Pasti	60	73	20
1	V	no	Pasti	90	138	65
1	V	no	Pasti	120	185	47
2	V	no	Straparla	30	69	69
2	V	no	Straparla	60	149	80
2	V	no	Straparla	90	217	68
2	V	no	Straparla	120	251	34