tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.744	1.116	0.372	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	bene	bene	bene
2	SP1	1.844	2.216	0.372	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	allora	allora	allora
3	SP1	2.788	3.505	0.717	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	intanto,	intanto,	intanto
4	SP1	4.311	5.661	1.35	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	ero curiosa di sapere	ero curiosa di sapere	ero curiosa di sapere
5	SP1	5.877	7.711	1.834	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	da quanto tempo c'è questo negozio perchè	da quanto tempo c'è questo negozio perché	da quanto tempo c' è questo negozio perché
6	SP1	7.811	8.666	0.855	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	io sono di qui	io sono di qui	io sono di qui
7	SP1	9.194	11.616	2.422	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	e frequento un po' questa zona ma non l'avevo mai visto	e frequento un po' questa zona ma non l'avevo mai visto	e frequento un po' questa zona ma non l' avevo mai visto
8	SP2	11.824	13.099	1.275	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	5	no (.) [eh non è così]	no {P} [eh non è così]	no {P} eh non è così
9	SP1	12.344	13.294	0.95	True	0	0	0	0	0	0	0	0	False	False	False	False	True	8=0.755	0	0	0	1	[stranamen]t[e]	[stranamen]t[e]	stranamente
10	SP2	13.305	15.966	2.761	True	0	0	0	0	0	0	1	0	False	False	False	False	True	_	2	0	0	7	[que]sto negozio (.) è già (.) da ventidue anni	[que]sto negozio {P} è già {P} da ventidue anni	questo negozio {P} è già {P} da ventidue anni
11	SP1	16.216	16.783	0.567	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	oka[y]	oka[y]	okay
12	SP2	16.683	21.911	5.228	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	20	[s]on[o qui da sei an]ni no no n- questo qua non è nuovo è di: prima era una (calatrice vaiesi)	[s]on[o qui da sei an]ni no no n- questo qua non è nuovo è di: prima era una (calatrice vaiesi)	sono qui da sei anni no no n- questo qua non è nuovo è di prima era una calatrice vaiesi
13	SP1	16.861	17.949	1.088	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[quin(di) non è nuovo]	[quin(di) non è nuovo]	quindi non è nuovo
14	SP2	22.672	28.217	5.545	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	poi hanno:: <chiuso> allora: ci ha comprato un'altra persona e ha fatta copisteria	poi hanno:: <chiuso> allora: ci ha comprato un'altra persona e ha fatta copisteria	poi hanno chiuso allora ci ha comprato un' altra persona e ha fatta copisteria
15	SP1	28.261	28.688	0.427	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay	okay	okay
16	SP2	29.188	33.511	4.323	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	poi io sono da terza mano che:: i:: andando avanti	poi io sono da terza mano che:: i:: andando avanti	poi io sono da terza mano che i andando avanti
17	SP1	33.638	33.949	0.311	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	mh mh	mh mh	mh mh
18	SP1	34.094	34.475	0.381	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay	okay	okay
19	SP1	34.927	35.505	0.578	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	m:h	m:h	mh
20	SP1	36.122	39.255	3.133	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	noi siam venute qui a chiedere a te la disponibilità perchè	noi siam venute qui a chiedere a te la disponibilità perché	noi siam venute qui a chiedere a te la disponibilità perché
21	SP1	39.677	43.199	3.522	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	il la il la verità è che siamo andati alla copisteria di via del guasto	il la il la verità è che siamo andati alla copisteria di via del guasto	il la il la verità è che siamo andati alla copisteria di via del guasto
22	SP2	43.222	43.411	0.189	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
23	SP1	43.438	44.099	0.661	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	a chiedere,	a chiedere,	a chiedere
24	SP2	44.261	44.444	0.183	True	0	0	0	0	0	0	0	0	False	False	False	False	True	_	0	0	0	2	mh [mh]	mh [mh]	mh mh
25	SP1	44.455	46.983	2.628	True	0	0	0	0	0	0	1	0	False	False	False	False	True	_	1	0	0	12	[e i] ragazzi ci hanno detto (.) che dovevamo assolutamente venire da te	[e i] ragazzi ci hanno detto {P} che dovevamo assolutamente venire da te	e i ragazzi ci hanno detto {P} che dovevamo assolutamente venire da te
26	SP2	47.422	54.611	7.189	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	22	beh e:h sì perchè loro non è: non è un abbasta- cioè loro non:: loro sono bravi ma: non sono: bravi per	beh e:h sì perché loro non è: non è un abbasta- cioè loro non:: loro sono bravi ma: non sono: bravi per	beh eh sì perché loro non è non è un abbasta- cioè loro non loro sono bravi ma non sono bravi per
27	SP2	54.972	60.305	5.333	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	2	0	0	17	rispondere a un sacco di [domand]e che: anche (.) non sono bravi (.) in italiano pro- [poco paro]le [sì]	rispondere a un sacco di [domand]e che: anche {P} non sono bravi {P} in italiano pro- [poco paro]le [sì]	rispondere a un sacco di domande che anche {P} non sono bravi {P} in italiano pro- poco parole sì
28	SP1	56.188	56.522	0.334	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mh]	[mh]	mh
29	SP1	59.166	59.833	0.667	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	2	[okay (.) quindi]	[okay {P} quindi]	okay {P} quindi
30	SP1	60.061	64.599	4.538	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	1	0	0	15	[fors]e (.) forse il problema era quello non a- non abbiamo capito se: erano preoccupati perchè:	[fors]e {P} forse il problema era quello non a- non abbiamo capito se: erano preoccupati perché:	forse {P} forse il problema era quello non a- non abbiamo capito se erano preoccupati perché
31	SP2	64.666	73.905	9.239	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	29	no non son- non è preoccupati però e::h lo sai che quando qualcuno che: mh non capisce cosa: è la: dom[anda] e quale che è ras- risposta che sta	no non son- non è preoccupati però e::h lo sai che quando qualcuno che: mh non capisce cosa: è la: dom[anda] e quale che è ras- risposta che sta	no non son- non è preoccupati però eh lo sai che quando qualcuno che mh non capisce cosa è la domanda e quale che è ras- risposta che sta
32	SP1	71.288	71.599	0.311	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
33	SP2	74.211	80.011	5.8	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	16	facendo in un'altra lingua che lui no[n è] abbastanza BRAVA allora è una probl[ema pe]r	facendo in un'altra lingua che lui no[n è] abbastanza BRAVA allora è una probl[ema pe]r	facendo in un' altra lingua che lui non è abbastanza brava allora è una problema per
34	SP1	76.911	77.221	0.31	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[°mh mh°]	[°mh mh°]	mh mh
35	SP1	79.394	79.705	0.311	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
36	SP1	80.255	80.605	0.35	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
37	SP2	80.311	81.99900000000001	1.788	True	0	0	0	0	0	0	1	0	False	False	False	False	False	_	0	0	0	6	[per c](io)è una persona no cio[è:]	[per c](io)è una persona no cio[è:]	per cioè una persona no cioè
38	SP1	81.716	82.022	0.306	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
39	SP1	82.094	82.749	0.655	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	sì [forse]	sì [forse]	sì forse
40	SP2	82.305	85.016	2.711	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[ecco perc]iò ch[e:: (fiù)]	[ecco perc]iò ch[e:: (fiù)]	ecco perciò che fiù
41	SP1	84.394	85.611	1.217	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[forse è stato p]er quel[lo]	[forse è stato p]er quel[lo]	forse è stato per quello
42	SP2	85.388	85.605	0.217	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
43	SP1	85.949	88.488	2.539	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	[e:h] stamattina noi siamo andate in e:h	[e:h] stamattina noi siamo andate in e:h	eh stamattina noi siamo andate in eh
44	SP2	86.061	86.268	0.207	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°sì°]	[°sì°]	sì
45	SP2	89.427	89.8	0.373	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	zo[na]	zo[na]	zona
46	SP1	89.599	92.199	2.6	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[prati]camente <tutti> i negozi di via san vitale	[prati]camente <tutti> i negozi di via san vitale	praticamente tutti i negozi di via san vitale
47	SP2	92.277	96.716	4.439	True	0	0	2	0	0	0	0	0	False	False	False	False	False	_	1	0	0	17	sì (.) [nessuno che] non ti ha detto che c'è sì perchè hanno paura per e::h perchè	sì {P} [nessuno che] non ti ha detto che c'è sì perché hanno paura per e::h perché	sì {P} nessuno che non ti ha detto che c' è sì perché hanno paura per eh perché
48	SP1	92.494	93.149	0.655	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[a chiedere]	[a chiedere]	a chiedere
49	SP2	97.216	99.549	2.333	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	2	0	0	9	non lo s- non si SA (.) cosa succederà (.) [dopo]	non lo s- non si SA {P} cosa succederà {P} [dopo]	non lo s- non si sa {P} cosa succederà {P} dopo
50	SP1	99.177	99.749	0.572	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[mh mh] mh	[mh mh] mh	mh mh mh
51	SP1	99.983	103.288	3.305	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	9	infatti sì quindi (.) vabbè ma [noi a]bbiamo provato [ovviamente]	infatti sì quindi {P} vabbè ma [noi a]bbiamo provato [ovviamente]	infatti sì quindi {P} vabbè ma noi abbiamo provato ovviamente
52	SP2	101.627	101.915	0.288	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
53	SP2	102.366	103.323	0.957	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[assolutamente]	[assolutamente]	assolutamente
54	SP1	103.427	104.799	1.372	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[e:hm ma i]nvece	[e:hm ma i]nvece	ehm ma invece
55	SP2	103.466	104.283	0.817	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[assolutamente]	[assolutamente]	assolutamente
56	SP1	105.699	109.999	4.3	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	tu vivi in italia da: da sempre da: da alcuni anni [(m::h)]	tu vivi in italia da: da sempre da: da alcuni anni [(m::h)]	tu vivi in italia da da sempre da da alcuni anni mh
57	SP2	109.405	110.905	1.5	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	[no non è che] da sempre	[no non è che] da sempre	no non è che da sempre
58	SP2	111.216	113.605	2.389	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	s:ì da circa quindici anni già pass[ati]	s:ì da circa quindici anni già pass[ati]	sì da circa quindici anni già passati
59	SP1	113.316	113.887	0.571	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[oka]y	[oka]y	okay
60	SP2	114.311	114.949	0.638	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	2	((ride)) (sono mi)	{ride} (sono mi)	{ride} sono mi
61	SP1	114.977	115.805	0.828	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	2	beh (.) comunque	beh {P} comunque	beh {P} comunque
62	SP1	116.016	116.999	0.983	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[e:h] parli ben-	[e:h] parli ben-	eh parli ben-
63	SP2	116.038	116.361	0.323	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
64	SP1	117.105	118.311	1.206	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	°m:h parli [benissimo]°	°m:h parli [benissimo]°	mh parli benissimo
65	SP2	117.655	119.166	1.511	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[BEH È QUINDI]CI ANNI EH	[BEH È QUINDI]CI ANNI EH	beh è quindici anni eh
66	SP2	119.349	123.371	4.022	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	non sono:: sì è già passata proprio un se- più di un secolo	non sono:: sì è già passata proprio un se- più di un secolo	non sono sì è già passata proprio un se- più di un secolo
67	SP1	123.494	124.166	0.672	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	mh ma	mh ma	mh ma
68	SP1	124.483	126.605	2.122	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	hai studiato da solo [o:]	hai studiato da solo [o:]	hai studiato da solo o
69	SP2	126.211	129.811	3.6	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	[no c(io)è:] no non i studiato da solo è che ho fatto anche superiori qui	[no c(io)è:] no non i studiato da solo è che ho fatto anche superiori qui	no cioè no non i studiato da solo è che ho fatto anche superiori qui
70	SP1	130.683	131.927	1.244	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	a:h okay quindi sei	a:h okay quindi sei	ah okay quindi sei
71	SP1	132.027	133.105	1.078	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	sei giovanis[simo]	sei giovanis[simo]	sei giovanissimo
72	SP2	132.811	133.247	0.436	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[s:ì]	[s:ì]	sì
73	SP2	133.699	133.916	0.217	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
74	SP1	134.005	134.705	0.8	True	0	0	0	0	0	0	1	0	False	False	False	False	False	_	0	0	0	1	giovanissimo	giovanissimo	giovanissimo
75	SP1	134.827	135.583	0.756	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	1	0	0	2	perchè (.) io	perché {P} io	perché {P} io
76	SP1	136.499	137.688	1.189	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	non non voglio chiedere:	non non voglio chiedere:	non non voglio chiedere
77	SP2	137.688	138.055	0.367	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	gi[usto]	gi[usto]	giusto
78	SP1	137.794	138.911	1.117	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[l'età] perchè no[n:]	[l'età] perché no[n:]	l' età perché non
79	SP2	138.722	140.316	1.594	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	[no] no assoluta[mente (da) chiedere anche]	[no] no assoluta[mente (da) chiedere anche]	no no assolutamente da chiedere anche
80	SP1	139.366	141.655	2.289	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	2	0	0	8	[però (.) eh (.) sei an]dato a scuola qui quindi	[però {P} eh {P} sei an]dato a scuola qui quindi	però {P} eh {P} sei andato a scuola qui quindi
81	SP2	141.899	142.127	0.228	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
82	SP1	142.211	143.087	0.876	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	che scuola hai fatto	che scuola hai fatto	che scuola hai fatto
83	SP1	143.149	145.849	2.7	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	perchè anch'io sono andata a scuola qui un un po' di anni fa [ma]	perché anch'io sono andata a scuola qui un un po' di anni fa [ma]	perché anch' io sono andata a scuola qui un un po' di anni fa ma
84	SP2	145.722	149.388	3.666	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	[es]attamente <pimo> e:h andato il m::h	[es]attamente <pimo> e:h andato il m::h	esattamente pimo eh andato il mh
85	SP2	149.661	150.688	1.027	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	manfiri tanar[i]	manfiri tanar[i]	manfiri tanari
86	SP1	150.522	151.066	0.544	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[o]kay	[o]kay	okay
87	SP2	151.344	157.794	6.45	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	che: per la lingua che non riuscito:: a passare poi: e:h cioè: ho trasferito,	che: per la lingua che non riuscito:: a passare poi: e:h cioè: ho trasferito,	che per la lingua che non riuscito a passare poi eh cioè ho trasferito
88	SP2	158.322	159.511	1.189	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	in: fioravanti	in: fioravanti	in fioravanti
89	SP1	159.511	159.972	0.461	True	0	0	0	0	0	0	0	0	False	False	False	False	True	_	0	0	0	1	oka[y]	oka[y]	okay
90	SP2	159.983	161.383	1.5	True	0	0	0	0	0	0	1	0	False	False	False	False	True	91=0.239	0	0	0	4	[a]desso è (vellosi) fioravan[ti]	[a]desso è (vellosi) fioravan[ti]	adesso è vellosi fioravanti
91	SP1	161.144	161.452	0.308	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
92	SP2	161.466	164.294	2.828	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	[però] quando ero fatto era era solo il fioravan[ti]	[però] quando ero fatto era era solo il fioravan[ti]	però quando ero fatto era era solo il fioravanti
93	SP1	161.483	161.592	0.109	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[e]	[e]	e
94	SP1	164.027	166.411	2.384	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	[mh mh] okay e che indirizzo ha che: non lo so?	[mh mh] okay e che indirizzo ha che: non lo so?	mh mh okay e che indirizzo ha che non lo so
95	SP2	166.672	171.422	4.75	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	no era: boh cioè aveva adesso eh mi sembrava di m:h casalecchio	no era: boh cioè aveva adesso eh mi sembrava di m:h casalecchio	no era boh cioè aveva adesso eh mi sembrava di mh casalecchio
96	SP1	172.005	173.116	1.111	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	okay [okay]	okay [okay]	okay okay
97	SP2	172.616	173.855	1.239	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[(diversi) fi]or[avanti]	[(diversi) fi]or[avanti]	diversi fioravanti
98	SP1	173.323	173.999	0.676	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[okay oka]y	[okay oka]y	okay okay
99	SP1	174.133	174.744	0.611	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	ho capito	ho capito	ho capito
100	SP1	174.849	177.405	2.556	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	s- e che [che c]osa si studia a:l mh vele[zzi]	s- e che [che c]osa si studia a:l mh vele[zzi]	s- e che che cosa si studia al mh velezzi
101	SP2	175.199	175.438	0.239	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
102	SP2	176.922	177.402	0.48	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[tecnico]	[tecnico]	tecnico
103	SP1	177.511	178.055	0.544	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	tecni[co]	tecni[co]	tecnico
104	SP2	177.899	178.199	0.3	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°[te]cni-°	°[te]cni-°	tecni-
105	SP1	178.355	179.499	1.144	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	e [di]	e [di]	e di
106	SP2	178.883	179.383	0.5	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[professionale]	[professionale]	professionale
107	SP1	179.705	181.111	1.406	True	0	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	2	elettrica, elettr[onica,]	elettrica, elettr[onica],	elettrica elettronica
108	SP2	180.627	189.394	8.767	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	18	[no e:h] [là erava no] eh sì perchè: ci sono di informatica eh meccanica e:h idraulica con [autome]cc[anica]	[no e:h] [là erava no] eh sì perché: ci sono di informatica eh meccanica e:h idraulica con [autome]cc[anica]	no eh là erava no eh sì perché ci sono di informatica eh meccanica eh idraulica con automeccanica
109	SP1	181.416	182.344	0.928	True	0	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	1	[informatica,]	[informatica],	informatica
110	SP1	188.372	188.684	0.312	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°mh°]	[°mh°]	mh
111	SP1	188.916	189.755	0.839	True	0	0	0	0	0	0	0	0	False	False	False	False	True	108=0.478	0	0	0	3	[mh mh o]ka[y]	[mh mh o]ka[y]	mh mh okay
112	SP2	189.761	192.599	2.938	True	0	0	0	0	0	0	1	0	False	False	False	False	True	113=0.373	0	0	0	7	[ha] fatta: ili- cioè automeccanica con idrau[lica]	[ha] fatta: ili- cioè automeccanica con idrau[lica]	ha fatta ili- cioè automeccanica con idraulica
113	SP1	192.226	192.705	0.479	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[mh mh mh]	[mh mh mh]	mh mh mh
114	SP1	192.927	195.599	2.672	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	e quando hai finito di studiare sei venuto a lavorare: subito	e quando hai finito di studiare sei venuto a lavorare: subito	e quando hai finito di studiare sei venuto a lavorare subito
